Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Shadow,"Action,Adventure,Fantasy",7.0,2018,0,116.0,17935
Alone,"Drama,Horror,Mystery",6.2,2020,0,98.0,26357
I Am Wrath,"Action,Thriller",5.4,2016,0,92.0,15925
To All the Boys I've Loved Before,"Comedy,Drama,Romance",7.0,2018,0,99.0,121881
Veere Di Wedding,Comedy,3.3,2018,0,135.0,13191
Guardians of the Galaxy Vol. 3,"Action,Adventure,Comedy",7.9,2023,0,150.0,367639
Judwaa 2,"Action,Comedy",3.6,2017,0,145.0,11525
Skinamarink,"Horror,Mystery",4.8,2022,0,100.0,14881
Cuties,Drama,3.6,2020,0,96.0,32500
Blue Beetle,"Action,Adventure,Sci-Fi",6.0,2023,0,127.0,87473
The Blackening,"Comedy,Horror,Thriller",6.0,2022,0,97.0,17197
Satyameva Jayate 2,"Action,Crime,Drama",4.1,2021,0,138.0,16066
Free Solo,"Adventure,Documentary,Sport",8.1,2018,0,100.0,76222
2018,"Action,Drama,Thriller",8.4,2023,0,150.0,11263
Enes Batur: Imagination or Reality?,Comedy,2.0,2018,0,110.0,55938
The Hate U Give,"Crime,Drama",7.5,2018,0,133.0,39658
CHIPS,"Action,Comedy,Crime",6.0,2017,0,100.0,50449
Victoria & Abdul,"Biography,Comedy,Drama",6.8,2017,0,111.0,37931
On the Line,Thriller,5.4,2022,0,104.0,10846
Worth,"Biography,Drama,History",6.8,2020,0,118.0,17961
Death Wish,"Action,Crime,Drama",6.3,2018,0,107.0,75862
The Eyes of My Mother,"Drama,Horror,Thriller",6.2,2016,0,76.0,14293
Gully,"Crime,Drama",2.6,2019,0,84.0,22931
Downfall: The Case Against Boeing,Documentary,7.4,2022,0,89.0,13280
The Glass Castle,"Biography,Drama",7.1,2017,0,127.0,38028
Dumb Money,"Biography,Comedy,Drama",6.9,2023,0,105.0,31941
Clouds,"Biography,Drama,Music",7.5,2020,0,121.0,11478
Starfish,"Drama,Romance,Thriller",6.0,2023,0,121.0,19260
Puss in Boots: The Last Wish,"Adventure,Animation,Comedy",7.8,2022,0,102.0,168763
Strays,"Adventure,Comedy",6.3,2023,0,93.0,25125
Attack,"Action,Sci-Fi,Thriller",6.8,2022,0,121.0,16579
Malang,"Action,Crime,Drama",6.5,2020,0,135.0,11966
Escape Plan 2: Hades,"Action,Crime,Mystery",3.9,2018,0,96.0,34902
Alice Through the Looking Glass,"Adventure,Family,Fantasy",6.2,2016,0,113.0,120652
The Humanity Bureau,"Sci-Fi,Thriller",4.5,2017,0,95.0,11992
Tumbbad,"Drama,Fantasy,Horror",8.2,2018,0,104.0,57972
The Babysitter,"Comedy,Horror",6.3,2017,0,85.0,106691
Money Trap,"Comedy,Drama",6.0,2019,0,121.0,15998
Mudbound,"Drama,War",7.4,2017,0,134.0,53693
Quiz Lady,Comedy,6.7,2023,0,99.0,17397
Raya and the Last Dragon,"Action,Adventure,Animation",7.3,2021,0,107.0,168934
Thank God,"Comedy,Fantasy",5.6,2022,0,121.0,12210
Honeyland,"Documentary,Drama",8.0,2019,0,89.0,19191
Bridget Jones's Baby,"Comedy,Drama,Romance",6.5,2016,0,123.0,81553
Luckiest Girl Alive,"Drama,Mystery,Thriller",6.4,2022,0,113.0,54916
The Fundamentals of Caring,"Comedy,Drama",7.3,2016,0,97.0,78754
Dungeons & Dragons: Honor Among Thieves,"Action,Adventure,Comedy",7.3,2023,0,134.0,216673
The Paramedic,"Crime,Drama,Thriller",5.7,2020,0,94.0,14482
One Piece Film: Red,"Action,Adventure,Animation",6.7,2022,0,115.0,18612
Collide,"Action,Adventure,Crime",5.7,2016,0,99.0,17245
