Review Date,Review Title,Username,Helpfulness,Helpful Votes,Total Votes,Individual Rating,Review Text,Spoiler Warning,Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
2 January 2023,Not a Copycat,hatimthepain,"22 out of 34 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",22,34,8.0,"People who are reviewing this movie wanna connect to Ghostbusters because they think have actual knowledge of Hollywood that's funny,This movie was a fun for when I don't usually like Bollywood,They paid homage to Unime(Anime), Hollywood and also some of funny Bollywood movies,This wasn't a like a James bond movie,it's was just a fun entertainment like home alone kind
I'm ashamed that entertainment like this doesn't work but crap like Simba works in north india.I watch Spanish,Norway,German,Russian, Japnese and other languages movies but these guys watch mainstream movies and think they know everything. Hahaha My Insta: hatimquilon_",,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
6 November 2022,Total madness,sameerlodaya,"17 out of 26 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",17,26,3.0,"Sameer lodayaThe movie is nothing but total madnessReal gutsy guys are the story writer, director ,and producer who made such a movie...at this age of ott where content is the king and daily we see new content coming up how can one dare to make this madness..the excel Gang has made such good and unique contents like Fukrey inside edge etcThe only good thing to see in this madness are the two guys Siddhant and ishaan both played very well even their character and make up was very good along with the evil aesthetics which enhanced their characterSome scenes and dialogues were really funny but why the makers didn't made the entire movie funny rather than showing ugly characters of Jackie sheeba and othersI think today's kids will also not like this.",,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
15 November 2022,Earnest attempt!! Ok ok kind of a film,sanjubhat,"14 out of 21 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",14,21,6.0,"Film Review: Phone Bhooth
#sanjuzzreviews #phonebhoot #IshaanKhatter #SidhantChaturvedi #katrinakaif #JackieShroff
2 losers Ishaan Khattar ( Gullu) & Sidhant Chaturvedi( Major) team up with a friendly Bhatakti Aatma ( Ragini) Katrina as the Desi Ghostbusters. However the Ragini has an agenda of her own. There is also an evil tantric ( Aatmaram) Jackie Shroff who is jealous of their success & trying to get rid of them with his army of ghosts. Will our bungling duo outwit the villains and be victorious in the end is what this film is all about.Kudos to the makers for attempting something different. The camaraderie between the protagonists is decent, though they are a bit loud at times.However there aren't many lol moments in the film which is a travesty when u r attempting a film in the horror-comedy genre. Jackie as tantric Aatmaram is funny with his ""bhidu"" type one-liners. Ending is quite predictable which again lets you down.What I liked are the references to old horror films like the Ramsey's and some well executed slapstick comedy scenes which invoke spontaneous laughter. Unfortunately there aren't many of these!!A good attempt by makers to try something new. Not as bad as Roohi, yet ...not as good as Stree!!Will give it a 2.5/5 ... Adios🙂",,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
6 November 2022,Katrina Kaif should quite Acting,baruaritesh,"44 out of 74 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",44,74,2.0,What a horrible movie. Cheap dialogues. Cheap comedy. Katrina Kaif is just a waste of space. Dont know why ppl keep glorifying her.Such movies dont deserve a single star. The 2 child actors also have wasted their talent. All in a total waste of time and a bad movie.The comedy is not worth it. Jackie Shroff as usual is bad as it can be.Sometimes I wonder if these movies are made just to launder illegitimate funds. Bad would be an understatement for this kovie. Report this movie if it comes out on OTT. When will bollywood filmmakers stop making fools out of audienxes.There is not a single scary element. I had to walk out of the theatre post interval.,,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
15 December 2022,"died laughing, though I wish it got a bit more serious",anshpratihast,"14 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",14,16,7.0,"I died laughing at this movie, ngl, but I really hoped for more serious scences, the narrator stole the show, so did. ""Are Ruk Ja Bahen, Lahore Aagaya"". They're roles were played out as comedic as possible.Jackie Shroff remains Jackie Shroff as usual.It remains childish the whole movie, and some jokes are just ""you know you know"" so, awkward to watch with parents.The plotline really picks up real slow, as it changes it flow from humane ghost busters vs ghost ghost busters, then to romance between a ghost and a prince, with the ghost wanting to recover him. Some moments got me to the edges of my seat, but they got childish again.",Warning: Spoilers,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
13 November 2022,Nice subject badly executed,cifarshayar,"7 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",7,10,5.0,The subject of ghost busters is good and different and even better when dealt as a horror comedy instead of serious or drama but subject is not delivered well and the characters instead of comic looked idiots. Even story is weak. The comic timings of Jackie Shroff and Katrina Kaif is not worth it. Actually I am thinking what's Jackie Shroff is doing in the film. When we have horror comedies like Bhoot Police and Stree dealing with subject so nicely in comparison this film looks totally useless. Have some moments but those are not enough to uplift the movie to make it more like-able. Waiting for some good movie from Katrina.,,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
21 December 2022,Not the sharpest tool in the shed!,SoumikBanerjee1996,"10 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",10,18,5.0,"A cheap ripoff of Ghostbusters that is only able to provide entertainment in scenes that are very few and far between. Because I had a much higher ceiling of expectations for the film, I would like to exclusively attribute the fault to those who orchestrated the marketing strategies in advance of its release. A trap was set for me, and I walked straight into it.It's not at all the laughter ride I was expecting. Yes, it made me chuckle quite a bit, but that's it. It was not the uproarious, outrageous parody I was hoping it would come to be. Albeit thanks to its star-studded ensemble which kept me fairly occupied. It is certainly an ambitious effort, and I am inclined to agree that it is quite a stout attempt, but I must concede that it was not the sharpest tool in the shed.",,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
24 December 2022,"Disgusting, Badly Written, Illogical scenes & Pathetic Acting",OnjiMooteDaMarle,"14 out of 32 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",14,32,1.0,"-They have no money and talk about how will they answer their dads about being jobless but in their room/house they have a lot of things/ props (and iphone) that would cost a bomb each in real life. Were their fathers sleeping for 6 months each while these idiots bought all those stuffs? Their fathers spent crores of rupees on these idiots and never checked what they did with those money? Even Ambani would be keeping an eye on his son while spending crores of rupees.-Kat can stuff kilos of make-up but she will still look 40 years old.-The 2 actors act like they are 6 year old kids in 25 year old bodies.-Badly written. Illogical scenes. Dumb characters. The writing is yuck. It's not funny nor thrilling. I have no idea what genre this film belongs as per the director.-Character assasination: Once again the illiterate bollywood is back at showing Tamilians as SOuth Indians because they have no balls nor any knowledge of South india. The fact that Ishan is a Tamilian doesn't help the story in any way. Which Tamilian speaaks in hindi with his Tamilian speaking father? Once again same as those dumb wirters of Meenakshi Sundar...something taking South India as a joke. Does a punjabi HAVE to drink lassi at all times? Does a Tamilian always drinks coffee? WHat kind of mentally disturbed writer you must be to not understand that bollywood is dead because of writers like these. BTW there is not much of bollywood anyway. It was more of punjabi characters, lyrics & dances with urdu dialogues. There was never hindi anywhere.-In the trailer they are driving and hit a woman and the car stops by itself. What a load of crap right there.",,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
23 December 2022,A definite watch for ACTUAL horror comedy fans,TheSidiot,"9 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",9,12,8.0,"Movies like Phone Bhoot are rare from Bollywood. With a multicultural region of India, focussing on a script like this is tough. I feel, Gurmmeet Singh handled it really good. The cast is amazing. Ishaan and Siddhant should be applauded for their comedy roles.The plot is quite simple and the ending a little anti-climactic. But that doesn't take away from the fun ride that is this movie. It's a horror comedy cum buddy comedy. And these are rare. I have seen this movie being compared to multiple other movies especially, Ghostbusters. And of course that can be drawn. It's because this movie spoofs the others. The music was fun too. Love the songs. Especially, Nidhi, Ishan, and Siddhant dancing to Kali Teri. With pop culture references being made really good, I enjoyed this movie throughout.Of course this could have been better. The movie does lose the plot a bit towards the end. The end was quite anti-climactic. And the sequel pull could have been set a lil better. Some jokes didn't land the right way.Having said that, I watched this movie thrice. Once at the theatres and twice after renting it on Prime Video. And I enjoyed it every time. Please ignore the low ratings and baseless negative review and enjoy the movie, currently available on Prime Video for rent. Or wait till it's available in the catalogue. Relax and enjoy this fun ride of Phone Bhoot.",,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
9 January 2023,Trying to be Amar & Prem!! Messed up everything with overacting!!,drana-86716,"5 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",5,8,2.0,"First of all, Arshad Warsi already made a similar movie called Hum Tum aur Ghost around 2006-07!!Movie is really boring. I still can't figure out why they were doing so much overacting. I am Punjabi, I don't drink Lassi all day!! So stereotypical!! Who talks like the way Gully Boy actor was talking!!The Kapoor guy is slow. Like he is reading the script. Why Jackie Shroff is in every movie nowadays?? He is not a great actor that people want to see him in every film.Movie is not funny at all!!! NOT AT ALL!!!Not even a single scene and I think they were trying too hard to be Prem and Amar of Andaaz Apna Apna. You guys can never be Aamir Khan.You will get headache. Surprisingly, Katrina Kaif acted good!!In conclusion, this movie is Boring, full of over acting and not funny at all!!",,Phone Bhoot,"Comedy,Horror",5.2,2022,0,136.0,10841,https://www.imdb.com/title/tt12740760/reviews/?ref_=tt_ql_2
