Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
The Tragedy of Macbeth,"Drama,Mystery,Thriller",7.1,2021,0,105.0,38998,https://www.imdb.com/title/tt10095582/reviews/?ref_=tt_ql_2
Renfield,"Comedy,Fantasy,Horror",6.4,2023,0,93.0,91081,https://www.imdb.com/title/tt11358390/reviews/?ref_=tt_ql_2
Dark Crimes,"Crime,Drama,Mystery",4.6,2016,0,92.0,19773,https://www.imdb.com/title/tt1901024/reviews/?ref_=tt_ql_2
Annaatthe,"Action,Comedy,Drama",4.0,2021,0,163.0,10604,https://www.imdb.com/title/tt11253090/reviews/?ref_=tt_ql_2
Black Widow,"Action,Adventure,Sci-Fi",6.7,2021,0,134.0,419506,https://www.imdb.com/title/tt3480822/reviews/?ref_=tt_ql_2
Darkest Hour,"Drama,War",7.4,2017,0,125.0,217972,https://www.imdb.com/title/tt4555426/reviews/?ref_=tt_ql_2
Greta,"Drama,Mystery,Thriller",6.0,2018,0,98.0,37564,
Leo,"Animation,Comedy,Family",7.0,2023,0,102.0,30272,
Sink or Swim,"Comedy,Drama,Sport",6.9,2018,0,121.0,11815,https://www.imdb.com/title/tt7476116/reviews/?ref_=tt_ql_2
Jai Bhim,"Crime,Drama,Mystery",8.7,2021,0,164.0,215495,https://www.imdb.com/title/tt15097216/reviews/?ref_=tt_ql_2
A Perfect Pairing,"Comedy,Romance",6.1,2022,0,101.0,16403,https://www.imdb.com/title/tt15215512/reviews/?ref_=tt_ql_2
Jumanji: Welcome to the Jungle,"Action,Adventure,Comedy",6.9,2017,0,119.0,417215,https://www.imdb.com/title/tt2283362/reviews/?ref_=tt_ql_2
Medieval,"Action,Drama,History",5.9,2022,0,125.0,12148,https://www.imdb.com/title/tt8883486/reviews/?ref_=tt_ql_2
Winnie-the-Pooh: Blood and Honey,Horror,2.9,2023,0,84.0,26286,
The One and Only Ivan,"Adventure,Comedy,Drama",6.6,2020,0,95.0,13325,https://www.imdb.com/title/tt3661394/reviews/?ref_=tt_ql_2
Swiss Army Man,"Comedy,Drama,Fantasy",6.9,2016,0,97.0,132383,https://www.imdb.com/title/tt4034354/reviews/?ref_=tt_ql_2
Justice League vs the Fatal Five,"Action,Animation,Fantasy",6.5,2019,0,77.0,10432,https://www.imdb.com/title/tt8752474/reviews/?ref_=tt_ql_2
Atrangi Re,"Comedy,Drama,Fantasy",6.5,2021,0,138.0,27787,https://www.imdb.com/title/tt9766332/reviews/?ref_=tt_ql_2
Sultan,"Action,Drama,Romance",7.0,2016,0,170.0,51499,https://www.imdb.com/title/tt4832640/reviews/?ref_=tt_ql_2
A.I. Rising,"Drama,Romance,Sci-Fi",4.9,2018,0,85.0,11236,https://www.imdb.com/title/tt5215088/reviews/?ref_=tt_ql_2
The Cursed,"Fantasy,Horror,Mystery",6.2,2021,0,111.0,15443,https://www.imdb.com/title/tt9907782/reviews/?ref_=tt_ql_2
Love & Friendship,"Comedy,Drama,Romance",6.4,2016,0,90.0,26264,https://www.imdb.com/title/tt3068194/reviews/?ref_=tt_ql_2
Seaspiracy,"Adventure,Documentary",8.1,2021,0,89.0,33795,https://www.imdb.com/title/tt14152756/reviews/?ref_=tt_ql_2
Finding 'Ohana,"Action,Adventure,Comedy",6.1,2021,0,123.0,11492,https://www.imdb.com/title/tt10332588/reviews/?ref_=tt_ql_2
Beach Rats,Drama,6.4,2017,0,98.0,16254,https://www.imdb.com/title/tt6303866/reviews/?ref_=tt_ql_2
Vikram,"Action,Crime,Thriller",8.3,2022,0,175.0,73188,https://www.imdb.com/title/tt9179430/reviews/?ref_=tt_ql_2
Midway,"Action,Drama,History",6.7,2019,0,138.0,93385,https://www.imdb.com/title/tt6924650/reviews/?ref_=tt_ql_2
Toy Story 4,"Adventure,Animation,Comedy",7.7,2019,0,100.0,276279,https://www.imdb.com/title/tt1979376/reviews/?ref_=tt_ql_2
I Lost My Body,"Animation,Drama,Fantasy",7.5,2019,0,81.0,36187,https://www.imdb.com/title/tt9806192/reviews/?ref_=tt_ql_2
Vivarium,"Horror,Mystery,Sci-Fi",5.9,2019,0,97.0,72253,https://www.imdb.com/title/tt8368406/reviews/?ref_=tt_ql_2
Artemis Fowl,"Adventure,Family,Fantasy",4.3,2020,0,95.0,30227,https://www.imdb.com/title/tt3089630/reviews/?ref_=tt_ql_2
Arrival,"Drama,Mystery,Sci-Fi",7.9,2016,0,116.0,754140,https://www.imdb.com/title/tt2543164/reviews/?ref_=tt_ql_2
Kabir Singh,"Action,Drama,Romance",7.0,2019,0,173.0,39594,https://www.imdb.com/title/tt8983202/reviews/?ref_=tt_ql_2
Leap!,"Adventure,Animation,Comedy",6.7,2016,0,89.0,24106,https://www.imdb.com/title/tt2261287/reviews/?ref_=tt_ql_2
The Man with the Iron Heart,"Action,Biography,Thriller",6.4,2017,0,120.0,18235,https://www.imdb.com/title/tt3296908/reviews/?ref_=tt_ql_2
Bheeshma Parvam,"Action,Crime,Drama",7.6,2022,0,144.0,12772,https://www.imdb.com/title/tt14002046/reviews/?ref_=tt_ql_2
You People,"Comedy,Romance",5.5,2023,0,117.0,61858,https://www.imdb.com/title/tt14826022/reviews/?ref_=tt_ql_2
Influencer,"Horror,Mystery,Thriller",6.2,2022,0,92.0,12581,https://www.imdb.com/title/tt13309170/reviews/?ref_=tt_ql_2
Next Goal Wins,"Comedy,Drama,Sport",6.5,2023,0,104.0,11111,https://www.imdb.com/title/tt10767052/reviews/?ref_=tt_ql_2
Holidate,"Comedy,Romance",6.1,2020,0,104.0,77973,https://www.imdb.com/title/tt9866072/reviews/?ref_=tt_ql_2
Beast,"Action,Adventure,Drama",5.6,2022,0,93.0,39471,https://www.imdb.com/title/tt13223398/reviews/?ref_=tt_ql_2
Smolensk,"Drama,Thriller",1.2,2016,0,120.0,40151,https://www.imdb.com/title/tt6038600/reviews/?ref_=tt_ql_2
Bank of Dave,"Biography,Comedy,Drama",7.1,2023,0,107.0,11057,https://www.imdb.com/title/tt14308636/reviews/?ref_=tt_ql_2
The Northman,"Action,Adventure,Drama",7.0,2022,0,137.0,247634,https://www.imdb.com/title/tt11138512/reviews/?ref_=tt_ql_2
The Space Between Us,"Drama,Romance,Sci-Fi",6.4,2017,0,120.0,55897,https://www.imdb.com/title/tt3922818/reviews/?ref_=tt_ql_2
365 Days,"Drama,Romance",3.3,2020,0,114.0,97285,https://www.imdb.com/title/tt10886166/reviews/?ref_=tt_ql_2
Big Bug,"Comedy,Sci-Fi",5.5,2022,0,111.0,10257,https://www.imdb.com/title/tt11541872/reviews/?ref_=tt_ql_2
The Young Offenders,"Adventure,Comedy,Crime",7.0,2016,0,83.0,13224,https://www.imdb.com/title/tt4714568/reviews/?ref_=tt_ql_2
Captain Fantastic,"Comedy,Drama",7.8,2016,0,118.0,232706,https://www.imdb.com/title/tt3553976/reviews/?ref_=tt_ql_2
Braven,"Action,Thriller",5.9,2018,0,94.0,41797,https://www.imdb.com/title/tt5001754/reviews/?ref_=tt_ql_2
